report_date,comparison_period,nrd_phase,spine,launch_date,metric,value_2019_baseline,value_current,pct_change
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,pax_boardings_million,8.0,10.1,26.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,pax_boardings_million,,1.8,
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,pax_boardings_million,6.5,11.9,83.1
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,pax_boardings_million,113.0,121.6,7.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,punctuality_pct,67.0,69.0,3.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,punctuality_pct,59.0,70.0,18.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,punctuality_pct,71.0,68.0,-4.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,punctuality_pct,56.0,75.0,33.9
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,punctuality_pct,62.0,67.0,8.1
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,punctuality_pct,61.0,64.0,4.9
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,punctuality_pct,63.0,66.0,4.8
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,ewt_minutes,1.8,0.9,-50.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,ewt_minutes,2.8,1.3,-53.6
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,ewt_minutes,1.9,1.5,-21.1
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,ewt_minutes,2.0,1.7,-15.0
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,ewt_minutes,1.0,1.1,10.0
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,ewt_minutes,1.1,1.5,36.4
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,lost_km_pct,4.9,2.4,-51.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,lost_km_pct,4.2,2.3,-45.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,lost_km_pct,6.0,1.1,-81.7
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,lost_km_pct,4.7,1.6,-66.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,lost_km_pct,6.5,2.2,-66.2
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,lost_km_pct,5.1,1.7,-66.7
Mar-2025,Q2-2019 vs Q2-2024,No NRD Phase,Non-BusConnects,,lost_km_pct,5.0,2.7,-46.0
Mar-2025,Q2-2019 vs Q2-2024,Full Network,Full Network,,lost_km_pct,,2.4,
